id,question,type,answer,hint,points,explanation,image_url,choice_1,choice_2,choice_3,choice_4
mover_vocab_001,"Which word is the plural of “child”?","choice","children","Irregular plural nouns",10,"The word “child” changes to “children” in the plural form.",,"childs","children","childes",
mover_vocab_002,"They ___ football now.","choice","are playing","Action happening at this moment",10,"Use present continuous (am/is/are + verb-ing) to describe actions happening right now.",,"play","are playing","played",
mover_vocab_003,"Write the opposite of “short”.","input","tall","Think about height",10,"“Tall” is the antonym of “short” when talking about height.",,,,,
mover_vocab_004,"The cat is ___ the chair.","choice","under","Look below the chair",10,"When something is below an object, we use the preposition “under”.",,"on","under","between",
mover_vocab_005,"___ you like some juice?","choice","Would","Polite offers",10,"We use “Would you like…?” to make a polite offer.",,"Would","Do","Are",
mover_vocab_006,"Write the present simple form for “he” of the verb “go”.","input","goes","Add -es",10,"Third-person singular verbs ending with “o” take “-es”, so “he goes”.",,,,,
mover_vocab_007,"I ___ do my homework before dinner.","choice","always","Position of adverbs of frequency",10,"The adverb “always” goes before the main verb: “I always do…”.",,"always","always am","do always",
mover_vocab_008,"Which word means “to speak very softly”?","choice","whisper","Quiet voice",10,"“Whisper” describes speaking in a very soft, quiet voice.",,"whisper","shout","laugh",
mover_vocab_009,"Write the past tense of “play”.","input","played","Regular verbs add -ed",10,"“Play” is a regular verb, so the past tense is “played”.",,,,,
mover_vocab_010,"Which sentence is correct?","choice","There are some apples in the basket.","Plural noun",10,"Use “There are” with plural nouns like “apples”.",,"There are some apples in the basket.","There is some apples in the basket.","There be apples in the basket.",
mover_vocab_011,"My bag is ___ than yours.","choice","heavier","Comparative adjective",10,"One-syllable adjectives add “-er”: heavy → heavier.",,"heavier","more heavy","heavy",
mover_vocab_012,"Complete the phrase: take care ___ someone.","input","of","Think of prepositions",10,"The expression is “take care of” meaning look after someone.",,,,,
mover_vocab_013,"Which word is closest in meaning to “happy”?","choice","cheerful","Synonyms",10,"“Cheerful” is a synonym for “happy”.",,"cheerful","careful","heavy",
mover_vocab_014,"___ is your birthday?","choice","When","Asking about time",10,"We use “When…?” to ask about time or dates.",,"When","What","Where",
mover_vocab_015,"Fill in the missing letter: s _ hool","input","c","Think of the word “school”",10,"The word “school” is spelled s-c-h-o-o-l, so the missing letter is “c”.",,,,,
mover_vocab_016,"There ___ any milk left.","choice","isn't","Negative singular noun",10,"“Milk” is uncountable, so we use the singular negative “isn't”.",,"isn't","aren't","is",
mover_vocab_017,"Write the opposite of “noisy”.","input","quiet","Library voice",10,"“Quiet” is the antonym of “noisy”.",,,,,
mover_vocab_018,"Choose the correct spelling.","choice","because","Common linking word",10,"“Because” is spelled b-e-c-a-u-s-e.",,"because","becaus","becuase",
mover_vocab_019,"Which pronoun replaces “Tom and I”?","choice","we","Subject pronouns",10,"“Tom and I” is a subject, so replace with “we”.",,"we","us","they",
mover_vocab_020,"Write the ordinal number for 12.","input","twelfth","Ends with -fth",10,"The ordinal of 12 is “twelfth”.",,,,,
mover_vocab_021,"Which sentence is a polite request?","choice","Could you pass me the salt, please?","Look for “please”",10,"Adding “Could you… please?” makes the sentence a polite request.",,"Could you pass me the salt, please?","Give me the salt now!","Pass salt.",
mover_vocab_022,"You ___ wear a helmet when you ride a bike.","choice","must","Strong rule",10,"“Must” expresses a strong rule or necessity.",,"must","can't","shouldn't",
mover_vocab_023,"Write the base form of “wrote”.","input","write","Present tense",10,"“Wrote” is the past form of the verb “write”.",,,,,
mover_vocab_024,"I have lived here ___ five years.","choice","for","Use with a length of time",10,"“For” is used with a period of time (for five years).",,"for","since","from",

